title;artist;album;isrc;addedDate;addedBy;duration;url
"Walking On A Dream";"Empire of the Sun";"Walking On A Dream (10th Anniversary Edition)";AUEI10800039;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;198s;https://open.spotify.com/track/5r5cp9IpziiIsR6b93vcnQ
"Dance, Dance";"Fall Out Boy";"From Under The Cork Tree";USDJ20500174;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;180s;https://open.spotify.com/track/0a7BloCiNzLDD9qSQHh5m7
"Thnks fr th Mmrs";"Fall Out Boy";"Infinity On High";USUM70700326;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;204s;https://open.spotify.com/track/3Zwu2K0Qa5sT6teCCHPShP
"Out of My League";"Fitz and The Tantrums";"Out of My League";USAT21300149;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;209s;https://open.spotify.com/track/5qEn8c0MBzyRKgQq91Vevi
"The Walker";"Fitz and The Tantrums";"More Than Just a Dream (Deluxe Edition)";USAT21300240;"2021-11-15 20:38";sj1bdpnkh9q3knr3ss718da1d;233s;https://open.spotify.com/track/0Nk7bSn0MItonkR0GNs3mj
Handlebars;Flobots;"Fight With Tools";USUM70810498;"2022-01-03 20:08";sj1bdpnkh9q3knr3ss718da1d;207s;https://open.spotify.com/track/6JH9yWhgbm0y9iAJhCslNc
"Dog Days Are Over";"Florence + The Machine";"Lungs (Deluxe Edition)";GBUM70900209;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;252s;https://open.spotify.com/track/1YLJVmuzeM2YSUkCCaTNUB
"Mountain at My Gates";Foals;"What Went Down";GBAHT1500380;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;244s;https://open.spotify.com/track/53L6A3I9vf7rgEZnMzx54E
"Wake Me Up";Foals;"Wake Me Up";GBAHT2100953;"2021-11-09 02:02";sj1bdpnkh9q3knr3ss718da1d;264s;https://open.spotify.com/track/4MDDOpA7BwGDjYclTmCTVw
"Best of You";"Foo Fighters";"In Your Honor";USRW30500001;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;256s;https://open.spotify.com/track/5FZxsHWIvUsmSK1IAvm2pp
"All My Life";"Foo Fighters";"One By One (Expanded Edition)";USRW30200001;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;263s;https://open.spotify.com/track/6tsojOQ5wHaIjKqIryLZK6
"The Pretender";"Foo Fighters";"Echoes, Silence, Patience & Grace";USRW30700007;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;269s;https://open.spotify.com/track/7x8dCjCr0x6x2lXKujYD34
"Making A Fire";"Foo Fighters";"Medicine At Midnight";USRW32000007;"2021-06-09 18:34";sj1bdpnkh9q3knr3ss718da1d;255s;https://open.spotify.com/track/2u8NmvhYX6wiviyxJTOhEi
"Worst Nites";"Foster The People";"Pick U Up";USSM11807750;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;212s;https://open.spotify.com/track/1f4tvi37ABO60upCvtm5Cl
"Sit Next to Me";"Foster The People";"Sacred Hearts Club";USSM11704909;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;243s;https://open.spotify.com/track/4BdGO1CaObRD4La9l5Zanz
